Point Size, Line Height, Baseline
11, 10, 1
11, 11, 1
11, 12, 2
11, 13, 2
11, 14, 3
11, 15, 3
11, 16, 4
11, 17, 4
11, 18, 5
11, 19, 5
11, 20, 6
11, 21, 6
11, 22, 7
11, 23, 7
11, 24, 8
11, 25, 8
11, 26, 9
11, 27, 9
11, 28, 10
11, 29, 10
11, 30, 11
11, 31, 11
11, 32, 12
11, 33, 12
11, 34, 13
11, 35, 13
11, 36, 14
11, 37, 14
11, 38, 15
11, 39, 15
11, 40, 16
11, 41, 16
11, 42, 17
11, 43, 17
11, 44, 18
11, 45, 18
11, 46, 19
11, 47, 19
11, 48, 20
11, 49, 20
11, 50, 21
12, 10, 0
12, 11, 1
12, 12, 1
12, 13, 2
12, 14, 2
12, 15, 3
12, 16, 3
12, 17, 4
12, 18, 4
12, 19, 5
12, 20, 5
12, 21, 6
12, 22, 6
12, 23, 7
12, 24, 7
12, 25, 8
12, 26, 8
12, 27, 9
12, 28, 9
12, 29, 10
12, 30, 10
12, 31, 11
12, 32, 11
12, 33, 12
12, 34, 12
12, 35, 13
12, 36, 13
12, 37, 14
12, 38, 14
12, 39, 15
12, 40, 15
12, 41, 16
12, 42, 16
12, 43, 17
12, 44, 17
12, 45, 18
12, 46, 18
12, 47, 19
12, 48, 19
12, 49, 20
12, 50, 20
13, 10, 0
13, 11, 0
13, 12, 1
13, 13, 1
13, 14, 2
13, 15, 2
13, 16, 3
13, 17, 3
13, 18, 4
13, 19, 4
13, 20, 5
13, 21, 5
13, 22, 6
13, 23, 6
13, 24, 7
13, 25, 7
13, 26, 8
13, 27, 8
13, 28, 9
13, 29, 9
13, 30, 10
13, 31, 10
13, 32, 11
13, 33, 11
13, 34, 12
13, 35, 12
13, 36, 13
13, 37, 13
13, 38, 14
13, 39, 14
13, 40, 15
13, 41, 15
13, 42, 16
13, 43, 16
13, 44, 17
13, 45, 17
13, 46, 18
13, 47, 18
13, 48, 19
13, 49, 19
13, 50, 20
14, 10, 0
14, 11, 0
14, 12, 1
14, 13, 1
14, 14, 2
14, 15, 2
14, 16, 3
14, 17, 3
14, 18, 4
14, 19, 4
14, 20, 5
14, 21, 5
14, 22, 6
14, 23, 6
14, 24, 7
14, 25, 7
14, 26, 8
14, 27, 8
14, 28, 9
14, 29, 9
14, 30, 10
14, 31, 10
14, 32, 11
14, 33, 11
14, 34, 12
14, 35, 12
14, 36, 13
14, 37, 13
14, 38, 14
14, 39, 14
14, 40, 15
14, 41, 15
14, 42, 16
14, 43, 16
14, 44, 17
14, 45, 17
14, 46, 18
14, 47, 18
14, 48, 19
14, 49, 19
14, 50, 20
15, 10, 0
15, 11, 0
15, 12, 0
15, 13, 1
